year,total_gross,avg_gross,no_of_releases
2000,7476224972.00,17030125.00,439
2001,7959296828.00,19318681.00,412
2002,9164913438.00,16078795.00,570
2003,9232953228.00,13842508.00,667
2004,9354636012.00,13363765.00,700
2005,8833618311.00,13067482.00,676
2006,9203041941.00,12336517.00,746
2007,9679019852.00,12489057.00,775
2008,9652648585.00,13313998.00,725
2009,10615886283.00,16433260.00,646
2010,10585388159.00,16260196.00,651
2011,10155695359.00,13892880.00,731
2012,10843641372.00,13436978.00,807
2013,10955524800.00,13263347.00,826
2014,10368861849.00,12213029.00,849
2015,11148780747.00,13193823.00,845
2016,11375225455.00,13304357.00,855
2017,11075387520.00,12968837.00,854
2018,11892160011.00,11975991.00,993
2019,11363360896.00,12487209.00,910
2020,2113386800.00,4644806.00,455
2021,4483016589.00,10142571.00,442
2022,7369914732.00,14681105.00,502
2023,8908478987.00,15048106.00,592
2024,8558034823.00,13206843.00,648
